hello приветь
world мир
my меня
I я
i я
you ты
You ты
name зовут
good хорошо
bye пока
apple яблоко
cat кошка
dog собака
book книга
tree дерево
house дом
love любовь
friend друг
food еда
sun солнце
moon луна
water вода
time время
day день
night ночь
morning утро
evening вечер
week неделя
month месяц
year год
sunshine солнечный свет
rain дождь
snow снег
wind ветер
cloud облако
sky небо
star звезда
fire огонь
earth земля
air воздух
mountain гора
river река
lake озеро
sea море
beach пляж
flower цветок
tree дерево
grass трава
bird птица
fish рыба
cat кошка
dog собака
horse лошадь
cow корова
sheep овца
rabbit кролик
lion лев
tiger тигр
elephant слон
monkey обезьяна
snake змея
butterfly бабочка
bee пчела
ant муравей
wolf волк
fox лиса
bear медведь
deer олень
bird птица
fish рыба
cat кошка
dog собака
horse лошадь
cow корова
sheep овца
rabbit кролик
lion лев
tiger тигр
elephant слон
monkey обезьяна
snake змея
butterfly бабочка
bee пчела
ant муравей
wolf волк
fox лиса
bear медведь
deer олень
zebra зебра
giraffe жираф
penguin пингвин
dolphin дельфин
turtle черепаха
crocodile крокодил
shark акула
whale кит
octopus осьминог
snail улитка
spider паук
bee пчела
butterfly бабочка
dragonfly стрекоза
ladybug божья коровка
ant муравей
mosquito комар
fly муха
cockroach таракан
grasshopper кузнечик
beetle жук
worm червь
caterpillar гусеница
snail улитка
lizard ящерица
frog лягушка
toad жаба
run бегать
walk ходить
jump прыгать
swim плавать
sing петь
dance танцевать
laugh смеяться
cry плакать
eat есть
drink пить
sleep спать
wake просыпаться
talk говорить
listen слушать
read читать
write писать
think думать
learn учиться
teach учить
play играть
work работать
study изучать
travel путешествовать
cook готовить
clean убирать
watch смотреть
draw рисовать
paint красить
listen слушать
speak говорить
speaks говорит
wait ждать
help помогать
buy покупать
sell продавать
open открывать
close закрывать
meet встречать
leave уходить
arrive приезжать
start начинать
finish заканчивать
invite приглашать
call звонить
send отправлять
receive получать
find находить
lose терять
is_studying изучает 
Russian русский
russian русский
Every каждый
is_an_American американец
He Он
he он
is_an_engineer инженёр
but но 
now сейчас 
studying изучает
loves любит 
and и 
literature литературу
His Его 
his его
favorite любимый 
writer писатель 
a_lot много 
reads читает 
only только 
but но 
already уже 
good хорошо 
understands понимает
everyday каждый день
writes пишет 
exercises упражнения
learns учит 
words слова 
grammar грамматику
translates переводит 
tells рассказывает 
texts тёксты
listens слушает 
recorder магнитофон 
watchs смотрит
films фильмы
talks говорит 
friend друг 
language язык
year год
lot_of много 
watches смотрит 
year_old год
Music музыка
Art искусство
Happiness счастье
Sadness грусть
Smile улыбка
Tears слезы
Hope надежда
Dream мечта
Adventure приключение
Freedom свобода
Courage мужество
Knowledge знания
Wisdom мудрость
Peace мир
War война
Journey путешествие
Discovery открытие
Success успех
Failure провал
Challenge вызов
Family семья
Home дом
School школа
Work работа
Money деньги
Health здоровье
Beauty красота
Truth правда
Trust доверие
Friendship дружба
Passion страсть
Joy радость
Fear страх
Anger гнев
Peaceful мирный
Brave храбрый
Patient терпеливый
Kind добрый
Honest честный
Generous щедрый
Adventure приключение
Beauty красота
Creativity творчество
Curiosity любопытство
Discipline дисциплина
Excitement волнение
Gratitude благодарность
Harmony гармония
Inspiration вдохновение
Kindness доброта
Motivation мотивация
Patience терпение
Resilience устойчивость
Serenity безмятежность
Wisdom мудрость
Ambition амбиция
Balance баланс
Confidence уверенность
Empathy эмпатия
Perseverance настойчивость
Hope надежда
Determination решимость
Friendship дружба
Forgiveness прощение
Humility смирение
Joy радость
Knowledge знания
Leadership лидерство
Optimism оптимизм
Passion страсть
Persistence настойчивость
Purpose цель
Reflection отражение
Resilience устойчивость
Self-discipline самодисциплина
Success успех
Trust доверие
Understanding понимание
Adventure приключение
Balance баланс
Growth рост
Pineapple ананас
Grapes виноград
Mango манго
Peach персик
Cherry вишня
Pear груша
Lemon лимон
Tomato помидор
Potato картофель
Carrot морковь
Cucumber огурец
Broccoli брокколи
Spinach шпинат
Lettuce салат
Onion лук
Garlic чеснок
Bread хлеб
Rice рис
Pasta паста
Noodles лапша
Cheese сыр
Milk молоко
Butter масло
Yogurt йогурт
Eggs яйца
Chicken курица
Beef говядина
Pork свинина
Fish рыба
Shrimp креветки
Lobster лобстер
Crab краб
Salmon лосось
Tuna тунец
Sushi суши
Pizza пицца
Burger бургер
Sandwich бутерброд
Soup суп
Salad салат
Steak стейк
Pancakes блины
Waffles вафли
Ice cream мороженое
Chocolate шоколад
Shirt рубашка
T-shirt футболка
Blouse блузка
Dress платье
Skirt юбка
Pants брюки
Jeans джинсы
Shorts шорты
Sweater свитер
Hoodie худи
Jacket куртка
Coat пальто
Suit костюм
Tie галстук
Scarf шарф
Hat шапка
Cap кепка
Gloves перчатки
Socks носки
Shoes обувь
Sneakers кроссовки
Boots ботинки
Sandals сандалии
High_heels высокие_каблуки
Flipflops шлепанцы
Belt пояс
Suitcase чемодан
Backpack рюкзак
Wallet кошелек
Watch часы
Ring кольцо
Necklace ожерелье
Bracelet браслет
Earrings серьги
Sunglasses солнцезащитные_очки
Bathrobe халат
Pajamas пижама
Swimsuit купальник
Raincoat плащ
Umbrella зонт
Tie галстук
Bow tie бабочка (галстук)
Handbag сумка
Wallet бумажник
Backpack рюкзак
Headband ободок
Leggings леггинсы
Onesie комбинезон
Jumpsuit комбинезон
Red красный
Blue синий
Green зеленый
Yellow желтый
Orange оранжевый
Purple фиолетовый
Pink розовый
Brown коричневый
Black черный
White белый
Gray серый
Silver серебряный
Gold золотой
Beige бежевый
Navy сине-морской
Turquoise бирюзовый
Magenta пурпурный
Indigo индиго
Coral коралловый
in в
in на
at на
russia россия
Russia Россия
zzz ззз
